title,location,month,year
20th/21st Century: Collection Francis Gross,Paris,June,2021
20th/21st Century: London Evening Sale,London,June,2021
20th/21st Century: Paris vente du soir,Paris,June,2021
"Hello, i'm Victor (FEWOCiOUS) and This Is My Life",New York,June,2021
No Regrets: Modern and Contemporary Art Online,Hong Kong,June,2021
Original Air Takes Flight: The Evolution and Influence of Air Jordan Sneakers,New York,June,2021
Art of China | Including Property from the Junkunc Collection,New York,June,2021
Jewels Online,Hong Kong,June,2021
Photographies,Paris,June,2021
Vince Camuto: Designer and Collector,New York,June,2021
Art of Asia,Paris,June,2021
Collection Michel Périnet,Paris,June,2021
Jewels and Handbags Online: The London Edit,London,June,2021
"Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse, Online",New York,June,2021
The Roger Federer Collection: Sold to Benefit The RF Foundation | The Live Auction,London,June,2021
Watches Online: The New York Edition,New York,June,2021
"Finest and Rarest Wines and Spirits Featuring Two Superb Cellars, and Highlights from the Collection of The Earl of Snowdon",London,June,2021
The Hekking Mona Lisa,Paris,June,2021
"Maîtres Anciens, Peinture - Sculpture",Paris,June,2021
Women in art,Paris,June,2021
Latin American Art Online,New York,July,2021
Superplastic: The Janky Heist,New York,July,2021
Trespassing,New York,July,2021
First Open | Post-War & Contemporary Art,New York,July,2021
Contemporary Edition,New York,July,2021
Jewels Online: The Geneva Edit,Geneva,July,2021
British and European Art,London,July,2021
The Roger Federer Collection: Sold to Benefit The RF Foundation | The Online Auction,London,July,2021
Valuable Books and Manuscripts,London,July,2021
The Collection of Rita Espirito Santo and Three Private European Collections,London,July,2021
Old Master Paintings and Sculpture Online,London,July,2021
The B.J. Eastwood Collection: Important Sporting and Irish Pictures,London,July,2021
Old Masters Evening Sale,London,July,2021
The Exceptional Sale,London,July,2021
Antiquities,London,July,2021
First Open: Post-War and Contemporary Art Online,London,July,2021
Joaillerie,Paris,July,2021
Old Master and British Drawings and Watercolours including a Fine Collection of Old Master Prints,London,July,2021
Post War and Contemporary Art Day Sale,London,July,2021
Impressionist and Modern Art Day and Works on Paper Sale,London,July,2021
Misha Kahn: Furniture Unhinged,New York,August,2021
Jewels Online: Summer Sparkle,New York,August,2021
An Aesthetic Odyssey: The Peter Rose and Albert Gallichan Collection,London,September,2021
From Artist to Woodblock: Japanese Prints Online,New York,September,2021
Asia!,New York,September,2021
No Time Like Present,Hong Kong,September,2021
Prints & Multiples,London,September,2021
Droit de regard. Collection Pierre Rochelois,Paris,September,2021
Important Chinese Ceramics and Works of Art,New York,September,2021
Banksy: I can't believe you morons actually buy this sh*t,London,September,2021
Jewels Online,New York,September,2021
"Indian, Himalayan & Southeast Asian Works of Art",New York,September,2021
Picasso Ceramics,London,September,2021
South Asian Modern + Contemporary Art,New York,September,2021
Important Japanese Art,New York,September,2021
Jasper Conran: The Collection Part II,London,September,2021
The Exceptional Literature Collection of Theodore B. Baum: Part Two,New York,September,2021
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online,New York,September,2021
A Graphic Dialogue: Prints from the Collection of Lois B. Torf,New York,September,2021
Wine Online: The Connoisseur's Cellar,Geneva,September,2021
A Parisian pied-à-terre curated by Hubert de Givenchy,Paris,September,2021
Jasper Conran: The Collection Part I,London,September,2021
Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,October,2021
BALTHUS: 46 oeuvres provenant de la collection de Stanislas Klossowski de Rola,Paris,October,2021
Watches Online: The Dubai Edit,Dubai,October,2021
Science and Natural History,London,October,2021
Art Moderne,Paris,October,2021
Prints & Multiples,New York,October,2021
Collection Alain Bouret,Paris,October,2021
Modern British and Irish Art Day Sale,London,October,2021
Paris Avant-garde,Paris,October,2021
Collection Gerard Valkier : A lifetime journey with Art.,Paris,October,2021
Modern British and Irish Art  Evening Sale,London,October,2021
"The Collector: English & European Furniture, Ceramics, Silver & Works of Art",New York,October,2021
An Immaculate European Connoisseur's Collection,Hong Kong,October,2021
First Open: Post-War and Contemporary Art Online,London,October,2021
No Regrets: The Collectors' Edition,London,October,2021
Post-War and Contemporary Art Day Sale,London,October,2021
"20th/21st Century: Evening Sale Including Thinking Italian, London",London,October,2021
European Art Part II,New York,October,2021
Fine Printed Books and Manuscripts including Americana,New York,October,2021
Always in Style: Old Master Drawings from the Collection of Herbert Kasper,New York,October,2021
Fine Chinese Modern and Contemporary Ink Paintings,Hong Kong,November,2021
A Selection of Fabergé Masterpieces from the Harry Woolf Collection,London,November,2021
Fine Chinese Classical Paintings and Calligraphy,Hong Kong,November,2021
Russian Art,London,November,2021
Hong Kong Magnificent Jewels,Hong Kong,November,2021
An Exceptional Season of Watches including The Champion Collection (Part 1),Hong Kong,November,2021
Timeless Marvels,Hong Kong,November,2021
Finest and Rarest Wines,Hong Kong,November,2021
Handbags & Accessories,Hong Kong,November,2021
Jewels Online: The London Edit,London,November,2021
20th/21st Century: Amsterdam,Amsterdam,November,2021
"An Exceptional Private Cellar Featuring d'Auvenay, Macallan and Karuizawa",Hong Kong,November,2021
The Collector : Le Goût Français,Paris,November,2021
A Thousand Roads: A Private Collection in Rome,Amsterdam,November,2021
Dalva Brothers II,Paris,November,2021
Handbags Online: The London Edit,London,November,2021
The Exceptional Sale,Paris,November,2021
"De Chardin à Prud'hon, Tableaux et Dessins provenant des collections Marcille",Paris,November,2021
Livres rares et Manuscrits,Paris,November,2021
Chicago Classical: A Private Collection,New York,November,2021
British and European Art,London,December,2021
Image World | Contemporary Art from a Private American Collection,New York,December,2021
The Nile Rodgers Collection To Benefit the We Are Family Foundation,New York,December,2021
"Two Private Collections of European Ceramics, Gold Boxes and Silver",London,December,2021
First Open | Post-War & Contemporary Art,New York,December,2021
The Birth of Wikipedia,New York,December,2021
Valuable Books and Manuscripts,London,December,2021
Art of China and Japan,New York,December,2021
Finest and Rarest Wines Online,Hong Kong,December,2021
Joaillerie Paris,Paris,December,2021
Le coeur des stars bat pour ELA,Paris,December,2021
Quentin Blake: New Drawings 2021,London,December,2021
Watches Online : The Geneva Edit - An Important Private Collection,Geneva,December,2021
Art of Asia,Paris,December,2021
Christie's Fine Watchmaking: Important Timepieces and the Independent Collection,New York,December,2021
Tiffany,New York,December,2021
Design,New York,December,2021
Handbags x HYPE: The Luxury Remix,New York,December,2021
Jewels Online & Colorful Whimsy: Jewels by Michele della Valle,New York,December,2021
Old Master Prints,London,December,2021
Old Master & British Drawings,New York,January,2022
The Collection of Pierre Durand,New York,January,2022
Au Bord Du Lac: An interior by François-Joseph Graf,London,January,2022
20th/21st Century Art Online Sale,Hong Kong,January,2022
Important Americana,New York,January,2022
The Collection of Peter and Barbara Goodman,New York,January,2022
19th Century American Art,New York,January,2022
Enticing Flavours - Kweichow Moutai Online,Shanghai,January,2022
Latin American Art Online,New York,February,2022
The Collector,London,February,2022
Jewels Online,New York,February,2022
Outsider Art,New York,February,2022
Chinese Export Art Featuring Property from the Tibor Collection,New York,February,2022
Fine & Rare Wines Including Two Outstanding Private Collections,Los Angeles,February,2022
Art of the Islamic and Indian Worlds including Oriental Rugs and Carpets,London,March,2022
Oeuvres Modernes sur papier / Art Impressionniste et Moderne,Paris,March,2022
The Andy Warhol Diaries,New York,March,2022
South Asian Modern + Contemporary Art Online,New York,March,2022
Une passion surréaliste : Collection Inna & Boris Salomon,Paris,March,2022
Finest & Rarest Wines Including a Collaboration with Grapes for Humanity Global Charity Foundation,Los Angeles,March,2022
Rivers and Mountains Far from the World: Important Chinese Snuff Bottles from the Rachelle R. Holden Collection,New York,March,2022
Watches Online: The Dubai Edit,Dubai,March,2022
Important Chinese Ceramics and Works of Art,New York,March,2022
Dramas of Light and Land: The Martyn Gregory Collection of British Art,London,March,2022
Jewels and Ornaments Online: The Hong Kong Edit,Hong Kong,March,2022
Prints and Multiples,London,March,2022
Rivers and Mountains Far from the World: Important Chinese Snuff Bottles from the Rachelle R. Holden Collection,New York,March,2022
"Indian, Himalayan and Southeast Asian Works of Art",New York,March,2022
Modern British and Irish Art Day Sale,London,March,2022
South Asian Modern + Contemporary Art Including Works from the Collection of Mahinder and Sharad Tak,New York,March,2022
Japanese and Korean Art Including the Collection of David and Nayda Utterberg,New York,March,2022
Modern British and Irish Art Evening Sale,London,March,2022
View Over St. James's Square: A Private Collection,London,March,2022
Handbags Online: The Power of Colour,Hong Kong,March,2022
Finest and Rarest Wines,London,April,2022
Most Collectible Bags : An Important European Private Collection,Paris,April,2022
20th/21st Century: Amsterdam,Amsterdam,April,2022
Fine Printed Books and Manuscripts including Americana,New York,April,2022
No Regrets: 20/21 Art Online: All Originals,Hong Kong,April,2022
Prints & Multiples,New York,April,2022
No Regrets: 20/21 Art Online: All Editions,Hong Kong,April,2022
Watches Online: The Champion Collection Part II - Sport Elegance,Hong Kong,April,2022
Masterpieces in Miniature: Ancient Engraved Gems formerly in the G. Sangiorgi Collection Part III,New York,April,2022
Collection Jacqueline Matisse Monnier,Paris,April,2022
Finest and Rarest Wines,Hong Kong,April,2022
ICONIC WINES FROM JOSEPH LAU,Hong Kong,April,2022
Magnificent Jewels Including the Fuchsia Rose Diamond,New York,April,2022
Antiquities,New York,April,2022
European Art,New York,April,2022
Jewels Online and The Flawless Star,New York,April,2022
Photographs from the Richard Gere Collection,New York,April,2022
Collection Roland Petit & Zizi Jeanmaire : un patrimoine pour la danse,Paris,April,2022
Meteorites from the collection of Michael Farmer,London,April,2022
Photographs,New York,April,2022
Celestial Brilliance - The Wang Xing Lou Collection of Imperial Qing Dynasty Porcelain,Hong Kong,May,2022
Exquisite Eye: Chinese Paintings Online,Hong Kong,May,2022
Important Chinese Ceramics and Works of Art,Hong Kong,May,2022
Fine Chinese Modern and Contemporary Ink Paintings,Hong Kong,May,2022
Fine Chinese Classical Paintings and Calligraphy,Hong Kong,May,2022
20th Century Art Day Sale,Hong Kong,May,2022
21st Century Art Day Sale,Hong Kong,May,2022
The Collection of the late Lord and Lady Swaythling,London,May,2022
20th/21st Century Art Evening Sale,Hong Kong,May,2022
Fine and Rare Wines & Spirits Online: The Geneva Edit,Geneva,May,2022
Parallel Universe: NFT Evening Sale,Hong Kong,May,2022
"Sculpted by Nature: Fossils, Minerals and Meteorites",London,May,2022
The Private Collection of William S. Reese: Part Two,New York,May,2022
Adams & Company: Photographs of the American West including Property from the Peter Fetterman Collection,New York,May,2022
Design,Paris,May,2022
Magnificent Jewels,Hong Kong,May,2022
The Collection of Sir Nicholas Goodison - British Art: Innovation and Craftsmanship,London,May,2022
The Private Collection of William S. Reese: Part One,New York,May,2022
Fashion Photographs from the Susanne von Meiss collection,Paris,May,2022
"Important Watches and The Rise of The Independent Watchmakers, Featuring The Kairos Collection Part II",Hong Kong,May,2022
Le Grand Style : An apartment on the Quai d'Orsay designed by Alberto Pinto,Paris,June,2022
"Marc Chagall, Colour of Life: Prints and Artist's Books Formerly from the Artist's Estate",London,June,2022
African and Oceanic Art,Paris,June,2022
Impressionist and Modern Art Day and Works on Paper Sale,London,June,2022
"Post-War and Contemporary Art Day Sale, Paris",Paris,June,2022
20th/21st Century: London Evening Sale,London,June,2022
20th/21st Century: Paris Evening Sale,Paris,June,2022
Cartography of the Mind: A Curated NFT Sale to Benefit MAPS,New York,June,2022
"Marc Chagall, Colour of Life: Works Formerly from the Artist's Estate",London,June,2022
Hubert de Givenchy - Collectionneur: Hôtel d'Orrouer et Manoir du Jonchet | Online Sales,Paris,June,2022
"Inside the Orange Box: A Lifetime of Collecting, Property from an Important European Collector",Milan,June,2022
Hubert de Givenchy - Collectionneur: Hôtel d'Orrouer I-II et Manoir du Jonchet | Day Sales,Paris,June,2022
Watches Online: The New York Edit,New York,June,2022
20th/21st Century: Milan Online Sale Part II,Milan,June,2022
Jewels Online: The London Edit,London,June,2022
Old Masters: No Reserves,New York,June,2022
Fine and Rare Wines Online: Featuring the Exceptional Collection of Danny and Donna Arnold,Los Angeles,June,2022
Hubert de Givenchy - Collectionneur: Chefs-d'oeuvre | Masterpieces,Paris,June,2022
Six Rings - Legacy of the GOAT,New York,June,2022
Jewels Online,New York,June,2022
The University of Pennsylvania mRNA NFT - Vaccines for a New Era,New York,July,2022
Trespassing,New York,July,2022
First Open | Post-War & Contemporary Art,New York,July,2022
Contemporary Edition,New York,July,2022
Five Private Collections,London,July,2022
British and European Art,London,July,2022
The Isabel Goldsmith Collection: Selected Pre-Raphaelite and Symbolist Art,London,July,2022
Valuable Books and Manuscripts,London,July,2022
Art of Asia,Paris,July,2022
"First Editions, Second Thoughts: An Auction in Support of English PEN",London,July,2022
Old Master Paintings and Sculpture Online,London,July,2022
20th/21st Century Art Online,Hong Kong,July,2022
Joaillerie Paris,Paris,July,2022
Old Masters Evening Sale,London,July,2022
The Exceptional Sale,London,July,2022
Antiquities,London,July,2022
Art d'Asie,Paris,July,2022
First Open: Post-War and Contemporary Art Online,London,July,2022
"Old Master and British Works on Paper: Drawings, Watercolours and Prints 1500-1900",London,July,2022
"Post-War and Contemporary Art Day Sale, London",London,July,2022
DJ Kool Herc & The Birth of Hip Hop,New York,August,2022
Jewels Online: Summer Sparkle,New York,August,2022
Insider Art: Christie's New York Staff Show,New York,August,2022
Jewels Online: The Hong Kong Edit,Hong Kong,August,2022
Jewels Online,New York,September,2022
Latin American Art,New York,September,2022
Art of China Online,New York,September,2022
Post-War to Present,New York,September,2022
The Treasury: Finest Wines from a Peerless Collection,London,September,2022
Indian and Himalayan Art Online featuring The John C. and Susan L. Huntington Collection,New York,September,2022
Prints and Multiples,London,September,2022
Sixty Years of James Bond: Part I - Live Auction,London,September,2022
Thoughts Across the Waters: Asian Art from the David Drabkin Collection,New York,September,2022
Japanese and Korean Art Online,New York,September,2022
The Champion Collection Part IV: The Panerai Encyclopedia Chapter I,Hong Kong,September,2022
Fine and Rare Spirits Online: Hong Kong Edition,Hong Kong,September,2022
Important Chinese Ceramics and Works of Art,New York,September,2022
Fine and Rare Wines Online: Hong Kong Edition,Hong Kong,September,2022
"The Collector: English and European Furniture, Ceramics, Silver, Gold Boxes and Works of Art",London,September,2022
Centering the Figure: South Asian Modern + Contemporary Art from the Collection of Romi Lamba,New York,September,2022
Laugh now but one day we'll be in charge: Banksy and 21st Century Editions,London,September,2022
Provenance Revealed: Galerie Steinitz,London,September,2022
South Asian Modern + Contemporary Art,New York,September,2022
The John C. and Susan L. Huntington Collection,New York,September,2022
Collections,Paris,October,2022
Prints and Multiples,New York,October,2022
Art of the Islamic and Indian Worlds including Oriental Rugs and Carpets,London,October,2022
Jewels and Watches Online: La Dolce Vita,Milan,October,2022
Watches Online: The Dubai Edit,Dubai,October,2022
Science and Natural History,London,October,2022
"The Ann & Gordon Getty Collection: Decorations, Furniture, Lighting and Objects",New York,October,2022
The Ann & Gordon Getty Collection: English and European Decorative Arts,New York,October,2022
"The Ann & Gordon Getty Collection: The Art of the Table: Ceramics, Silver, and Table Decorations",New York,October,2022
The Ann & Gordon Getty Collection: Chinese and Japanese Works of Art and Textiles,New York,October,2022
"The Ann & Gordon Getty Collection: Indian, Ottoman, Global Works of Art, Jewelry and Textiles",New York,October,2022
The Ann & Gordon Getty Collection: Jewelry and Handbags,New York,October,2022
"The Ann & Gordon Getty Collection: Volume 4 | Chinese Works of Art, English and European Furniture and Decorative Arts, Day Sale",New York,October,2022
"The Ann & Gordon Getty Collection: Volume 3 | English and European Furniture, Porcelain and Silver, Day Sale",New York,October,2022
Art Moderne,Paris,October,2022
Churchill to Eden: The Collection of the Earl and Countess of Avon,London,October,2022
"The Ann & Gordon Getty Collection: Volume 2 |  Old Master, 19th and 20th Century Paintings, Day Sale",New York,October,2022
AVANT-GARDE(S) Including Thinking Italian,Paris,October,2022
Collection Béatrice et Patrick Caput,Paris,October,2022
Modern British & Irish Art Day Sale,London,October,2022
20th/21st Century Art Evening Sale,Hong Kong,November,2022
La couleur à l'oeuvre - Une collection contemporaine,Paris,November,2022
Post-Millennium Evening Sale,Hong Kong,November,2022
Design,Paris,November,2022
Important Chinese Ceramics and Works of Art,Hong Kong,November,2022
Rich Golden Hues and Graceful Forms -  Classical Chinese Furniture From The Tseng Collection,Hong Kong,November,2022
The Chang Wei-Hwa Collection of Archaic Jades Part IV -  The Qin and Han Periods,Hong Kong,November,2022
Magnificent Jewels Including The Collection of Rosamund Kwan,Hong Kong,November,2022
"Maîtres Anciens - Peintures, Sculptures, Dessins",Paris,November,2022
"Important Watches, Featuring The Triazza Collection Part I",Hong Kong,November,2022
The Champion Collection Part VI: The Finest Watchmaking,Hong Kong,November,2022
Handbags & Accessories,Hong Kong,November,2022
Finest and Rarest Wines & Spirits,Hong Kong,November,2022
ICONIC WINES FROM JOSEPH LAU PART II,Hong Kong,November,2022
Jewels Online: The London Edit,London,November,2022
"Le Jeune, A Collecting Legacy: The Amsterdam No Reserve Edit",Amsterdam,November,2022
The Collector : Le Goût Français,Paris,November,2022
20th/21st Century: Amsterdam,Amsterdam,November,2022
A Graphic Century including French Impressions: Prints from Ambroise Vollard and Henri M. Petiet,New York,November,2022
The Collection of Lord & Lady Weinstock,London,November,2022
Art d'Asie,Paris,December,2022
British and European Art: Online,London,December,2022
Joaillerie Paris,Paris,December,2022
First Open | Post-War & Contemporary Art,New York,December,2022
"From Beijing to Versailles, the V.W.S. collection",Paris,December,2022
Valuable Books and Manuscripts,London,December,2022
British and European Art: Part 1,London,December,2022
Fine and Rare Wines Online: LA Edition,Los Angeles,December,2022
No Regrets: 20th/21st Century Art Online,Hong Kong,December,2022
Watches Online: The New York Edit,New York,December,2022
Handbags Online: The New York Edit,New York,December,2022
The Collection of Marvin L. Colker,London,December,2022
Design,New York,December,2022
Designs by Alberto and Diego Giacometti,New York,December,2022
Old Master Paintings and Sculpture,London,December,2022
Tiffany,New York,December,2022
Art contemporain online,Paris,December,2022
Important Watches,New York,December,2022
Jewels Online,New York,December,2022
Old Masters Evening Sale,London,December,2022
